,Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Found Terms,Full term name
53,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python reticulatus,,SID+SKD+SKI+SKP,0,188,0,0,39685,46166,60061,42835,61739,79356,84156,182216,264887,301854,179801,100560,88336,84427,134091,87331,134729,175607,162246,143235,220030,405807,145178,232510,121753,246156,308555,239247,231405,233219,111491,182028,263204,259681.06,154579,187223,SID+SKI+SKP,"sides, skins & skin pieces"
54,MAMMALIA,CARNIVORA,URSIDAE,Ursus,Ursus americanus,,SKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,153,338,344,639,528,418,431,565,481,593,620,487,172,232,215,214,224,256,411,268,426,343,148,SKI,skins
55,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus siamensis,,SKU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0,0,0,38,61,35,58,9,0,8,535,62,SKU,skulls
56,ELASMOBRANCHII,LAMNIFORMES,LAMNIDAE,Carcharodon,Carcharodon carcharias,,TEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,520,TEE,teeth
57,MAMMALIA,CETACEA,PHYSETERIDAE,Physeter ,Physeter macrocephalus,,TEE,0,0,0,0,0,861,601,2,3,0,0,1,16,0,0,6,0,12,11,2,3,3,1,0,5,1,5,0,5,44,5,80,6,40,7,0,3,5,3,6,TEE,teeth
58,AVES,STRIGIFORMES,STRIGIDAE,Asio ,Asio otus,,BOD,0,0,0,0,0,2,0,1521,106,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,BOD,bodies
59,REPTILIA,TESTUDINATA,CHELONIIDAE,Chelonia,Chelonia mydas,,BOD+CAP,0,0,0,11,33,12,216,10,494,6,23,22,22,4,11,4,30,1,0,0,1,200,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,BOD+CAP,bodies & carapaces
60,AVES,FALCONIFORMES,FALCONIDAE,Falco,Falco tinnunculus,,BOD,0,0,0,0,0,210,0,918,151,0,0,0,0,0,2,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,BOD,bodies
61,REPTILIA,SERPENTES,ELAPIDAE,Ophiophagus ,Ophiophagus hannah,,BOD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOD,bodies
62,ARACHNIDA,SCORPIONES,SCORPIONIDAE,Pandinus,Pandinus imperator,,BOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,BOD,bodies
63,REPTILIA,SERPENTES,COLUBRIDAE,Ptyas,Ptyas mucosus,,BOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOD,bodies
65,REPTILIA,TESTUDINATA,CHELONIIDAE,Eretmochelys,Eretmochelys imbricata,,BOD+CAP,0,0,0,0,2,1,0,0,0,0,6,3,0,1,3,0,1,2,0,5,0,0,0,1,0,0,0,8,0,1,2,3,0,1,6,2,0,1,0,0,BOD+CAP,bodies & carapaces
66,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo graeca,,BOD+CAP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOD+CAP,bodies & carapaces
67,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenseriformes,KIL,CAV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122302.842,126761.066,81651.042,73973.057,56337.602,58564.723,43329.321,45337.807,17231.437,24680.66486,22583.34597,15644.52087,20373.29186,36079.40496,20754.8548,29453.40696,35682.065,CAV,caviar
70,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,Amazona amazonica,,LIV,0,0,0,0,0,0,741,2342,1421,5652,5214,4549,1552,4268,5467,10532,7294,5725,6118,3139,5484,10047,9935,7787,11168,9150,9500,7012,6448,6671,4523,1,4,13,16,10,7,5,2,1,LIV,live
71,REPTILIA,TESTUDINATA,TESTUDINIDAE,Astrochelys,Astrochelys radiata,,LIV,0,0,0,3,0,1,0,57,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,5,2,0,7,2,0,6,0,30,30,LIV,live
72,REPTILIA,SERPENTES,BOIDAE,Boa,Boa constrictor,,LIV,0,2,607,1085,584,2083,913,572,69,240,1246,600,1074,1154,1595,698,339,1240,2345,1958,2070,3646,4194,3448,3645,1513,1894,1167,2165,2852,2629,2451,2744,5045,2380,3009,2213,1358,761,734,LIV,live
73,MAMMALIA,CARNIVORA,CANIDAE,Canis,Canis lupus,,LIV,0,0,0,0,0,3,0,0,5,0,1,1,7,0,2,4,2,0,0,0,0,1,4,0,11,0,11,0,4,7,4,6,22,8,12,5,5,16,2,4,LIV,live
