,Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
46,MAMMALIA,CARNIVORA,CANIDAE,Canis,Canis lupus,,BEL+GAR+HAN+LEA+LPL+LPS+SKO,,,II,II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
47,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,Amazona ochrocephala,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
48,AVES,PSITTACIFORMES,PSITTACIDAE,Cacatua,Cacatua sulphurea,,LIV,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I,I,I
49,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo marginata,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
50,AVES,STRIGIFORMES,TYTONIDAE,Tyto ,Tyto alba,,LIV,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
51,REPTILIA,SAURIA,VARANIDAE,Varanus,Varanus salvator,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
52,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,Leopardus pardalis,,SKI,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
53,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python reticulatus,,SID+SKD+SKI+SKP,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
54,MAMMALIA,CARNIVORA,URSIDAE,Ursus,Ursus americanus,,SKI,,,,,,,,,,,,,,,,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
55,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus siamensis,,SKU,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
