,Order,Family,Genus,Taxon,Unit,Term,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
150,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,,SKI,0,0,0,0,0,0,0,3,3,4,0,2,4,0,1,2,1,0,2,4,0,0,0,1,0,0,0,1,0,0,2,1,0,0,2,0,0,1,0,1
151,Carnivora,Ursidae,Ursus,Ursus arctos,,SKI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,3,0,1,0,0,0,2,1,1,0,0,0,2,1,0,1,2,1,2
152,Proboscidea,Elephantidae,Elephas,Elephas maximus,,SKP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,0,0,0,1,0,1,0,2,2,25,45,8,1,1,4,5,0,1,1,3,7
153,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,TEE,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,4,5,1,1,0,0,0,0,2,0,0,2,2,0,1,0,1,1,0,5,3,0,0,1,4
154,Falconiformes,Accipitridae,Accipiter,Accipiter cooperii,,BOD,0,0,0,0,0,0,0,0,2,0,2,1,1,2,1,5,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
155,Testudines,Cheloniidae,Caretta,Caretta caretta,,BOD+CAP,0,0,0,0,0,0,0,2,3,0,2,1,2,2,4,2,16,0,1,0,0,0,1,1,2,0,1,1,2,0,0,1,0,0,2,2,0,1,0,4
156,Falconiformes,Cathartidae,Vultur,Vultur gryphus,,FEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,4,0,0,19,17,0,0,3,0,0,1,4,1,10,12,1,19,4
157,Strigiformes,Strigidae,Bubo,Bubo virginianus,,FOO,0,0,0,0,0,0,0,0,2,0,0,0,3,4,0,3,1,3,1,3,1,0,0,1,0,1,0,0,1,0,0,2,0,3,0,1,0,0,5,0
158,Carnivora,Mustelidae,Mustela,Mustela sibirica,,BEL+GAR+HAN+LPL+LPS+SHO+SKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,0,8,21,5,2,55,10,16,14,0,3,4,0,70,0,68,7
161,Crocodylia,Crocodylidae,Crocodylus,Crocodylus novaeguineae,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,7,13,123,27,26,20,18,56,11,156,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,1,12,0,55,0
162,Sauria,Iguanidae,Iguana,Iguana iguana,,MEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0,2,1,10,10,1,0,0,5,0,0,23,2,18,0,9,4,23,9,17
163,Mesogastropoda,Strombidae,Strombus,Strombus gigas,KIL,MEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113636,36036,0,0,0,54,0,0,31407,77,788,262,158,391,48220,60098.048,55837.44,15316.56,23214.78,7120.1,29696.47
165,Carnivora,Mustelidae,Lontra,Lontra canadensis,,SKI+SKP,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,1,102,1,2,0,1,2,0,0,1,1,1,6,0,0,0,0,1,0,13,172,30,0,0,0
166,Carnivora,Felidae,Lynx,Lynx canadensis,,SKI+SKP,0,0,0,0,0,0,0,0,2,0,2,0,5,0,0,0,1,1,0,0,0,7,0,0,3,0,0,0,3,3,0,0,1,439,48,35,1,5,19,0
167,Sauria,Varanidae,Varanus,Varanus salvator,,SID+SKD+SKI,0,0,0,0,0,0,0,0,61,0,1,5,7,7,0,18,9,0,0,3,0,3,0,1,0,0,0,0,0,0,100,0,0,1882,0,150,353,27,3,0
170,Testudines,Cheloniidae,Eretmochelys,Eretmochelys imbricata,,SKO,0,0,0,0,0,0,0,32,453,2,1,8,41,26,10,240,208,79,33,18,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Serpentes,Colubridae,Ptyas,Ptyas mucosus,,SID+SKD+SKI+SKP,0,0,0,0,0,0,0,0,0,0,20,7,38,301,52,145,19,822,1,144,0,0,28,3,15,17,3,0,1,0,0,0,8,64,4,0,5,35,10,0
