,Class,Order,Family,Genus,Taxon,Unit,Term,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,Found Terms
55,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus siamensis,,SKU,1,0,3,2,0,2,2,3,14,1,SKU
56,ELASMOBRANCHII,LAMNIFORMES,LAMNIDAE,Carcharodon,Carcharodon carcharias,,TEE,0,4,1,2,11,0,1,3,1,1,TEE
57,MAMMALIA,CETACEA,PHYSETERIDAE,Physeter ,Physeter macrocephalus,,TEE,15,0,0,2,8,1,1,3,1,1,TEE
58,AVES,STRIGIFORMES,STRIGIDAE,Asio ,Asio otus,,BOD,2,5,1,1,0,0,1,1,3,0,BOD
59,REPTILIA,TESTUDINATA,CHELONIIDAE,Chelonia,Chelonia mydas,,BOD+CAP,1,3,11,1,3,2,1,6,3,7,BOD+CAP
60,AVES,FALCONIFORMES,FALCONIDAE,Falco,Falco tinnunculus,,BOD,0,2,0,2,0,1,3,1,7,1,BOD
61,REPTILIA,SERPENTES,ELAPIDAE,Ophiophagus ,Ophiophagus hannah,,BOD,12,33,4,0,0,2,1,0,3,2,BOD
62,ARACHNIDA,SCORPIONES,SCORPIONIDAE,Pandinus,Pandinus imperator,,BOD,9,43,9,2,17,3,1,0,0,0,BOD
63,REPTILIA,SERPENTES,COLUBRIDAE,Ptyas,Ptyas mucosus,,BOD,5,3,1,6,0,2,3,0,3,0,BOD
65,REPTILIA,TESTUDINATA,CHELONIIDAE,Eretmochelys,Eretmochelys imbricata,,BOD+CAP,1,5,3,1,7,2,0,1,1,10,BOD+CAP
66,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo graeca,,BOD+CAP,2,1,0,2,4,1,0,0,4,4,BOD+CAP
67,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenseriformes,KIL,CAV,292.75,253.08,228.47,76.94,385.64,841.85,102.27,68.14,49.86,31.38,CAV
70,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,Amazona amazonica,,LIV,15,0,1,0,2,0,3,1,1,2,LIV
71,REPTILIA,TESTUDINATA,TESTUDINIDAE,Astrochelys,Astrochelys radiata,,LIV,0,111,1,1,0,2,2,4,0,10,LIV
72,REPTILIA,SERPENTES,BOIDAE,Boa,Boa constrictor,,LIV,0,4,50,0,1,0,4,18,5,19,LIV
73,MAMMALIA,CARNIVORA,CANIDAE,Canis,Canis lupus,,LIV,1,2,0,4,4,0,6,0,1,38,LIV
74,REPTILIA,TESTUDINATA,TESTUDINIDAE,Geochelone ,Geochelone sulcata,,LIV,0,0,1,33,0,37,1,2,3,1,LIV
75,HIRUDINOIDEA,ARHYNCHOBDELLAE,HIRUDINIDAE,Hirudo,Hirudo medicinalis,,LIV,0,3000,0,105,830,0,90,98,310,1016,LIV
76,MAMMALIA,CARNIVORA,FELIDAE,Panthera,Panthera tigris,,LIV,6,0,0,8,5,3,6,2,0,10,LIV
78,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python molurus+Python molurus molurus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,11,29,27,177,18,14,19,7,0,6,LPL+LPS
79,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus siamensis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,13,16,1,57,3,1,0,1,1,LPL+LPS
82,MAMMALIA,CETACEA,MONODONTIDAE,Monodon,Monodon monoceros,KIL,MEA,0,0,0,10,5,7.05,0.79,2000.09,44.37,197.2,MEA
83,MAMMALIA,PERISSODACTYLA,EQUIDAE,Equus,Equus zebra hartmannae,,SKI,6,3,2,2,2,0,1,0,0,2,SKI
84,MAMMALIA,CARNIVORA,FELIDAE,Lynx ,Lynx lynx,,SKI+SKP,0,1,0,1,3,0,2,8,22,17,SKI
85,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python molurus+Python molurus molurus,,SID+SKD+SKI+SKP,7,136,15,10,182,82,3,3,6,1,SKI+SKP
87,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python sebae,,SID+SKD+SKI+SKP,3,6,3,473,1,2,1,2,2,7,SKI+SKP
88,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus niloticus,,SKU,0,0,1,1,5,5,1,0,2,1,SKU
89,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus porosus,,SKU,1,0,2,1,1,1,0,1,0,2,SKU
